date,ticker,action,price,size,reason,pnl_pct
2024-01-04,BAJFINANCE.NS,BUY,747.6106144641175,6,Golden Cross,
2024-01-17,DELHIVERY.NS,BUY,406.04998779296875,12,Golden Cross,
2024-02-01,DELHIVERY.NS,SELL,453.0,-12,RSI Overbought,11.562618795341397
2024-02-02,BAJFINANCE.NS,SELL,668.0039265150391,-6,Stop Loss,-10.648148435685325
2024-02-05,RELIANCE.NS,BUY,1450.0177530325548,3,RHS Breakout (Neckline: ₹1168.35),
2024-02-05,LT.NS,BUY,3318.2259281033166,1,RHS Breakout (Neckline: ₹3061.97),
2024-02-05,TITAN.NS,BUY,3590.3614353652333,1,RHS Breakout (Neckline: ₹3305.60),
2024-02-05,DELHIVERY.NS,BUY,472.0,10,RHS Breakout (Neckline: ₹400.00),
2024-02-07,TCS.NS,BUY,3980.3199229971096,1,RHS Breakout (Neckline: ₹3419.10),
2024-02-08,DELHIVERY.NS,SELL,470.45001220703125,-10,RSI Overbought,-0.3283872442730402
2024-02-09,TCS.NS,SELL,3964.553633464125,-1,RSI Overbought,-0.3961060879024208
2024-02-13,COFORGE.NS,BUY,1316.3685581792106,3,RHS Breakout (Neckline: ₹1022.36),
2024-02-16,LT.NS,SELL,3248.8725772025077,-1,Death Cross,-2.090073201870584
2024-02-19,TITAN.NS,SELL,3648.9925685532207,-1,Death Cross,1.6330147881622146
2024-02-21,MPHASIS.NS,BUY,2655.3704524861205,1,Golden Cross,
2024-02-23,TCS.NS,BUY,3958.276086823709,1,RHS Breakout (Neckline: ₹3419.10),
2024-02-28,DELHIVERY.NS,BUY,483.0,10,RHS Breakout (Neckline: ₹400.00),
2024-03-01,INFY.NS,BUY,1595.3936301087206,3,RHS Breakout (Neckline: ₹1387.64),
2024-03-01,TITAN.NS,BUY,3607.3049782543103,1,RHS Breakout (Neckline: ₹3305.60),
2024-03-04,LT.NS,BUY,3607.7288299638517,1,RHS Breakout (Neckline: ₹3061.97),
2024-03-12,MPHASIS.NS,SELL,2361.758480549549,-1,Stop Loss,-11.057288509845172
2024-03-14,HDFCBANK.NS,BUY,711.58315148081,6,RHS Breakout (Neckline: ₹716.61),
2024-03-14,DELHIVERY.NS,SELL,420.04998779296875,-10,Stop Loss,-13.033128821331522
2024-03-19,TITAN.NS,SELL,3556.6237000775195,-1,Death Cross,-1.4049623883289477
2024-03-19,COFORGE.NS,SELL,1122.0669353324204,-3,Stop Loss,-14.760427210107974
2024-03-20,INFY.NS,SELL,1494.0684379599863,-3,Death Cross,-6.351109233263596
2024-03-20,COFORGE.NS,BUY,1096.498388731407,4,RHS Breakout (Neckline: ₹1022.36),
2024-03-22,INFY.NS,BUY,1453.9207013406174,3,RHS Breakout (Neckline: ₹1387.64),
2024-03-26,TITAN.NS,BUY,3642.0859879770214,1,RHS Breakout (Neckline: ₹3305.60),
2024-04-01,DELHIVERY.NS,BUY,448.8999938964844,10,RHS Breakout (Neckline: ₹400.00),
2024-04-05,HDFCBANK.NS,SELL,749.0093625181329,-6,RSI Overbought,5.259569589223504
2024-04-08,TCS.NS,SELL,3817.388493362501,-1,Death Cross,-3.559316994845162
2024-04-09,DELHIVERY.NS,SELL,456.20001220703125,-10,Death Cross,1.626201472444272
2024-04-10,RELIANCE.NS,SELL,1455.5766564963697,-3,Death Cross,0.3833679589225058
2024-04-10,DELHIVERY.NS,BUY,449.0,11,RHS Breakout (Neckline: ₹400.00),
2024-04-15,TCS.NS,BUY,3835.0230291581497,1,RHS Breakout (Neckline: ₹3419.10),
2024-04-15,LALPATHLAB.NS,BUY,2311.9927087958586,2,RHS Breakout (Neckline: ₹2312.76),
2024-04-19,RELIANCE.NS,BUY,1446.0720814485837,3,RHS Breakout (Neckline: ₹1168.35),
2024-04-29,BAJFINANCE.NS,BUY,671.4601650123005,7,RHS Breakout (Neckline: ₹699.96),
2024-04-30,TITAN.NS,SELL,3580.1256948290256,-1,Death Cross,-1.7012309251493354
2024-05-02,HDFCBANK.NS,BUY,740.7357142083232,6,RHS Breakout (Neckline: ₹744.57),
2024-05-03,RELIANCE.NS,SELL,1460.192515268153,-3,Death Cross,0.9764681858337527
2024-05-03,TITAN.NS,BUY,3572.5237587888623,1,RHS Breakout (Neckline: ₹3305.60),
2024-05-03,COFORGE.NS,SELL,882.5385062548556,-4,Stop Loss,-19.51301385167488
2024-05-06,RELIANCE.NS,BUY,1424.9533097670264,3,RHS Breakout (Neckline: ₹1168.35),
2024-05-06,ASIANPAINT.NS,BUY,2890.0667946923945,1,RHS Breakout (Neckline: ₹2907.16),
2024-05-10,LT.NS,SELL,3225.919084549805,-1,Stop Loss,-10.583105421974638
2024-05-13,LT.NS,BUY,3211.615866827031,1,RHS Breakout (Neckline: ₹3061.97),
2024-05-22,DELHIVERY.NS,SELL,396.04998779296875,-11,Stop Loss,-11.792875769940144
2024-05-23,BAJFINANCE.NS,SELL,668.4539162807214,-7,Death Cross,-0.44771810573812326
2024-05-24,DELHIVERY.NS,BUY,404.04998779296875,11,RHS Breakout (Neckline: ₹400.00),
2024-05-27,LALPATHLAB.NS,SELL,2595.959152855645,-2,RSI Overbought,12.282324376692468
2024-06-04,LT.NS,SELL,3786.640798989519,-1,RSI Overbought,17.904536408041654
2024-06-04,ASIANPAINT.NS,SELL,2821.48904385108,-1,Death Cross,-2.3728777122818525
2024-06-05,LT.NS,BUY,3383.1057774170854,1,RHS Breakout (Neckline: ₹3563.93),
2024-06-05,DELHIVERY.NS,SELL,365.8500061035156,-11,Stop Loss,-9.454271214834542
2024-06-10,INFY.NS,SELL,1487.2031538065996,-3,RSI Overbought,2.2891518385626872
2024-06-10,ASIANPAINT.NS,BUY,2868.5138459658892,1,Golden Cross,
2024-06-11,INFY.NS,BUY,1462.583761115188,3,Golden Cross,
2024-06-11,MPHASIS.NS,BUY,2303.218279630695,2,Golden Cross,
2024-06-13,LALPATHLAB.NS,BUY,2762.49048953778,1,RHS Breakout (Neckline: ₹2570.43),
2024-06-18,DELHIVERY.NS,BUY,406.8999938964844,11,RHS Breakout (Neckline: ₹400.00),
2024-06-18,COFORGE.NS,BUY,1029.195020655369,4,Golden Cross,
