date,ticker,action,price,size,reason,pnl_pct,target_pct
2023-10-09,BAJFINANCE.NS,BUY,801.2141242531701,6,CWH Breakout,,22.3589028010771
2023-10-09,HDFCAMC.NS,BUY,2618.421265967294,1,CWH Breakout,,22.78767181317059
2023-10-09,TITAN.NS,BUY,3274.101183634527,1,CWH Breakout,,10.730860970611698
2023-10-09,TCS.NS,BUY,3460.367322566594,1,CWH Breakout,,11.656494624676327
2023-10-09,ERIS.NS,BUY,884.9756278780611,5,CWH Breakout,,21.578641413511942
2023-10-09,LALPATHLAB.NS,BUY,2404.4888707066493,2,CWH Breakout,,38.143009986362024
2023-10-09,UJJIVANSFB.NS,BUY,58.4026457557884,86,CWH Breakout,,11.972618708036457
2023-10-10,MCX.NS,BUY,2084.7309925038476,2,CWH Breakout,,10.329925615861802
2023-10-11,INFY.NS,BUY,1412.6937877206776,3,CWH Breakout,,29.562320126670404
2023-10-12,EQUITASBNK.NS,BUY,96.65966565809832,52,CWH Breakout,,14.467660812014307
2023-10-12,MOTILALOFS.NS,BUY,925.1765372596004,5,CWH Breakout,,21.09016446155218
2023-10-13,CAPLIPOINT.NS,BUY,1108.3773848967548,4,CWH Breakout,,16.72363221355944
2023-10-17,TTKPRESTIG.NS,BUY,792.6510899461088,6,CWH Breakout,,43.1983514378568
2023-10-23,MCX.NS,SELL,2297.2383317810395,-2,Target Reached,10.193513697513648,10.329925615861802
2023-10-31,MCX.NS,BUY,2278.2858769633426,2,CWH Breakout,,14.401321910937103
2023-11-08,AXISBANK.NS,BUY,1022.336595889503,4,CWH Breakout,,11.659722697747696
2023-11-08,MCX.NS,SELL,2614.5568029335773,-2,Target Reached,14.759821380205363,14.401321910937103
2023-11-09,MCX.NS,BUY,2548.5463329980935,1,CWH Breakout,,15.548306338193635
2023-11-15,EICHERMOT.NS,BUY,3601.869912312261,1,CWH Breakout,,10.655834226397651
2023-11-16,CAPLIPOINT.NS,SELL,1312.109998708664,-4,Target Reached,18.381159394630455,16.72363221355944
2023-11-16,MOTILALOFS.NS,SELL,1210.3876284153441,-5,Target Reached,30.827747966949875,21.09016446155218
2023-11-17,MCX.NS,SELL,2918.991534939483,-1,Target Reached,14.53554903612837,15.548306338193635
2023-11-17,MOTILALOFS.NS,BUY,1200.8886738810857,4,CWH Breakout,,13.287543215295589
2023-11-17,RADICO.NS,BUY,1430.3221597266627,3,CWH Breakout,,9.832297415903502
2023-11-21,GODREJCP.NS,BUY,975.1904728154547,5,Golden Cross,,14.454919732548685
2023-11-24,MCX.NS,BUY,2913.022310299901,1,CWH Breakout,,12.80374191871578
2023-12-05,EICHERMOT.NS,SELL,4082.249744084673,-1,Target Reached,13.336956732677402,10.655834226397651
2023-12-05,RADICO.NS,SELL,1641.1474334498816,-3,Target Reached,14.739705477506416,9.832297415903502
2023-12-07,AKZOINDIA.NS,BUY,2294.9578490112517,2,Golden Cross,,14.702272731033933
2023-12-08,MCX.NS,SELL,3304.0120101638863,-1,Target Reached,13.422132006387963,12.80374191871578
2023-12-12,MCX.NS,BUY,3252.2780306194395,1,CWH Breakout,,10.754989172251129
2023-12-27,TITAN.NS,SELL,3645.067426687335,-1,Target Reached,11.33032310995973,10.730860970611698
2023-12-28,EICHERMOT.NS,BUY,4022.690311735588,1,CWH Breakout,,14.490940387846665
2023-12-28,FINEORG.NS,BUY,5011.480390767933,1,CWH Breakout,,20.192914393794496
2024-01-03,GODREJCP.NS,SELL,1127.820855202828,-5,Target Reached,15.65134059879778,14.454919732548685
2024-01-08,EQUITASBNK.NS,SELL,113.19745123998513,-52,Target Reached,17.109293177553262,14.467660812014307
2024-01-09,HDFCAMC.NS,SELL,3262.6345420759844,-1,Target Reached,24.603118088055474,22.78767181317059
2024-01-10,HDFCAMC.NS,BUY,3298.416053820719,1,CWH Breakout,,6.413821779363296
2024-01-10,EQUITASBNK.NS,BUY,111.96328357454912,46,CWH Breakout,,10.87833141944608
2024-01-19,CAPLIPOINT.NS,BUY,1451.278362249667,3,CWH Breakout,,7.59770254359603
2024-01-29,FINCABLES.NS,BUY,1100.276893097484,4,RHS Breakout,,21.31746516472183
2024-02-05,COLPAL.NS,BUY,2459.9428309914783,2,CWH Breakout,,9.734089752624364
2024-02-05,MCX.NS,SELL,3665.9510237235745,-1,Target Reached,12.719484287920658,10.754989172251129
2024-02-07,AKZOINDIA.NS,SELL,2685.010308103097,-2,Target Reached,16.996062008715914,14.702272731033933
2024-02-07,TCS.NS,SELL,3980.320171299025,-1,Target Reached,15.025943787573858,11.656494624676327
2024-02-07,RADICO.NS,BUY,1785.4852551655324,3,CWH Breakout,,5.500222559615198
2024-02-08,HDFCAMC.NS,SELL,3529.935415832114,-1,Target Reached,7.019107299796662,6.413821779363296
2024-02-12,AKZOINDIA.NS,BUY,2621.7856550708275,1,CWH Breakout,,11.611297388685594
2024-02-16,VGUARD.NS,BUY,317.81211077581935,16,CWH Breakout,,9.595652980742724
2024-02-19,CAPLIPOINT.NS,SELL,1575.0390262297126,-3,Target Reached,8.527699936778548,7.59770254359603
2024-02-20,CAPLIPOINT.NS,BUY,1590.0990605005725,3,CWH Breakout,,8.7167128840121
2024-02-23,RELIANCE.NS,BUY,1478.556551746289,3,RHS Breakout,,9.327364647136768
2024-03-11,POLYCAB.NS,BUY,4860.301482677193,1,Golden Cross,,14.55499790625933
2024-03-12,ICICIPRULI.NS,BUY,599.6332250827246,8,CWH Breakout,,10.465027963426015
2024-03-12,BANKBEES.NS,BUY,484.4800109863281,10,Golden Cross,,14.577485438042306
2024-03-27,PIDILITIND.NS,BUY,1488.0051621121759,3,CWH Breakout,,6.892270302493256
2024-04-01,GODREJCP.NS,BUY,1218.3190968814058,4,CWH Breakout,,11.192738956035845
2024-04-04,COLPAL.NS,SELL,2723.030431482111,-2,Target Reached,10.694866448770087,9.734089752624364
2024-04-12,MCX.NS,BUY,3864.181719351274,1,CWH Breakout,,9.607237939978424
2024-04-22,NAM-INDIA.NS,BUY,542.5850477759222,9,Golden Cross,,21.5671042030496
2024-04-26,POLYCAB.NS,SELL,5525.500241929958,-1,Target Reached,13.686368255624224,14.55499790625933
2024-04-29,HAVELLS.NS,BUY,1640.6602882461382,3,CWH Breakout,,7.281271353369427
2024-04-30,AXISBANK.NS,SELL,1158.2655654461603,-4,Target Reached,13.295911552338572,11.659722697747696
2024-04-30,JCHAC.NS,BUY,1232.9947661831054,4,RHS Breakout,,6.703104104617487
2024-05-09,VGUARD.NS,SELL,352.32450299818845,-16,Target Reached,10.859369750926108,9.595652980742724
2024-05-10,SYMPHONY.NS,BUY,930.0470660259422,5,RHS Breakout,,14.68216829466793
2024-05-15,EICHERMOT.NS,SELL,4618.8199543476985,-1,Target Reached,14.819178122486662,14.490940387846665
2024-05-15,VGUARD.NS,BUY,352.5728110636264,14,CWH Breakout,,8.901408317190645
2024-05-17,HAVELLS.NS,SELL,1772.8837380323273,-3,Target Reached,8.059160737506218,7.281271353369427
2024-05-17,EICHERMOT.NS,BUY,4549.936417018972,1,CWH Breakout,,10.193294894448615
2024-05-28,JCHAC.NS,SELL,1689.6594917651191,-4,Target Reached,37.03703682341478,6.703104104617487
2024-05-29,WHIRLPOOL.NS,BUY,1519.337985910987,3,RHS Breakout,,7.353103592392627
2024-05-29,HAVELLS.NS,BUY,1871.432160129067,2,CWH Breakout,,10.55505043859017
2024-05-29,FINCABLES.NS,SELL,1397.8047591777743,-4,Target Reached,27.0411809924222,21.31746516472183
2024-05-30,GLAXO.NS,BUY,2440.9168255369323,2,CWH Breakout,,7.631896779075609
2024-06-06,GODREJCP.NS,SELL,1399.0654232962022,-4,Target Reached,14.835713145879604,11.192738956035845
2024-06-06,SYMPHONY.NS,SELL,1072.9346754460992,-5,Target Reached,15.363481552682126,14.68216829466793
2024-06-07,AVANTIFEED.NS,BUY,566.7012115983852,10,CWH Breakout,,8.586205903247688
